,eigenvector_centrality,pagerank,katz_centrality,global_reaching_centrality,closeness_centrality,harmonic_centrality,information_centrality,load_centrality,betweenness_centrality
FACOAL1831,0.025697029545484133,0.00013516599567637568,0.012959037085506778,0.2109971827353095,0.4964434304120252,4213.800000000073,0.0008095444780824952,0.0005596413448745391,0.0005918000315380192
FACOAL1832,0.02569696481675019,0.00013516486873521713,0.01295793489875895,0.2109971827353095,0.49641011876803326,4213.300000000073,0.0008095423250191522,0.0005008838637546247,0.0005306763898637288
FACOAL184,0.025707348853198937,0.00013516309723852324,0.012959149572414222,0.2109971827353095,0.49651006711409396,4214.133333333405,0.000809544605296983,0.0003975212753346331,0.0004384074925046206
FACOAL191,0.025695170453289354,0.00013516384155916997,0.012955651150782226,0.2109971827353095,0.4963102106534282,4212.133333333409,0.0008095384384017734,0.0004714062832749739,0.0005095381835137558
FACOAL200,0.02569608683592338,0.00013516391022176763,0.01295791277112934,0.2109971827353095,0.4963768115942029,4213.133333333407,0.0008095424842403851,0.0003960087937091482,0.0004428172474337249
FACOAL203,0.025697075862142305,0.00013516622249034804,0.012959036806362852,0.2109971827353095,0.4964434304120252,4213.800000000073,0.0008095443784116699,0.0005665341443020907,0.0005844716648352648
FACOAL204,0.025731133599303017,0.00013516237769526743,0.012972808057608998,0.2109971827353095,0.4969770253929867,4220.383333333396,0.0008095700818032792,0.0005247587063511841,0.0004962807448498232
FACOAL2042,0.009043501807065691,0.0001351580514470952,0.011803904137651883,0.2109971827353095,0.43255569198386246,3579.4833333336096,0.0008050738556528903,0.0006419519017682413,0.0006261835529316626
FACOAL205,0.025696562950399925,0.00013516780720873822,0.012956819346529468,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095402251392617,0.0008548822441158567,0.0008870019870963079
FACOAL206,0.02569515554987682,0.00013516879718380388,0.012955650561428507,0.2109971827353095,0.49634350888963435,4212.300000000075,0.0008095380646143883,0.0008925161575806064,0.0009308212780628451
FACOAL224,0.02569728705856206,0.00013516558250877632,0.012957977025541918,0.2109971827353095,0.49641011876803326,4213.300000000073,0.0008095424320237163,0.000626573511645801,0.0006347627926724773
FACOAL2251,0.02569653355165661,0.0001351676195372095,0.012956819307198305,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095402835236444,0.00087752363681785,0.0009136494804804066
FACOAL2252,0.025696533401742973,0.00013516837038942675,0.012956818968141695,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095401650429233,0.000879995696380912,0.0009139856006369397
FACOAL226,0.02569725720174509,0.00013516614568961083,0.012957976644388334,0.2109971827353095,0.49641011876803326,4213.300000000073,0.000809542381381997,0.0007255871786012334,0.0007487708796038177
FACOAL240,0.02569600510281589,0.00013516522665097964,0.012957910967777413,0.2109971827353095,0.4963768115942029,4213.133333333407,0.000809542372289453,0.0005061556869224668,0.0005497661465760854
FACOAL241,0.0256960670443563,0.00013516622355591368,0.012957924592228377,0.2109971827353095,0.49641011876803326,4213.300000000073,0.0008095423370528905,0.0006786895159551674,0.0006949493211620023
FACOAL244_1,0.025696501803325007,0.0001351694967932083,0.01295681836300181,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095400445440553,0.0009833410592151345,0.001029891623077642
FACOAL245_1,0.00902293035749237,0.0001351614225610634,0.011803682144975729,0.2109971827353095,0.43255569198386246,3579.4833333336096,0.0008050714676557847,0.0007858353944875829,0.0007934460590265211
FACOAL245_2,0.009043512005200953,0.00013516075454429797,0.011805005350403668,0.2109971827353095,0.4325809846801544,3579.9833333336096,0.0008050839624290042,0.000690932582431527,0.0006712891781450766
FACOAL246_1,0.009043508731432594,0.00013516143035325934,0.011805005122787723,0.2109971827353095,0.4325809846801544,3579.9833333336096,0.0008050835150665203,0.0007092222439554425,0.0006831519160510859
FACOAL260,0.025695162327073154,0.00013517082449062106,0.012956752113524749,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095398621371773,0.0011716463203690134,0.0012506006361839214
FACOAL40im,0.0018914810992600498,0.00013515877603234924,0.011787973918798548,0.2109971827353095,0.37295825771324864,3207.7428571431865,0.0008053065988812892,0.00012629380613975692,0.00013772909988878668
FACOAL80i,0.02569523403934287,0.00013516769690234684,0.012956754866027665,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095402872111557,0.000907758122337941,0.0009467654293372411
FADDP,0.028602328901950986,0.00013516103442946532,0.013178801764479688,0.2109971827353095,0.505086365808698,4310.516666666594,0.0008098649488675155,0.00028937733992536027,0.00031912752689501346
FADH2tru,0.00010100715715635765,0.00013514249727207908,0.011026464735168492,0.2109971827353095,0.3513654713844693,2770.933333333325,0.0005981330395624269,3.622002376375965e-05,2.9506957856673025e-05
FADH2tx,0.00010121362284967636,0.00013514376285207356,0.011028588287684337,0.2109971827353095,0.34878129272547265,2752.299999999967,0.0006145230273350451,2.6936960286152534e-05,1.4955329082011175e-05
FADtru,0.00012682885940085975,0.00013514335363465143,0.011031159272995694,0.2109971827353095,0.35370051635111877,2790.43333333335,0.0006295750692703689,6.306892302199368e-05,4.856234830421828e-05
FADtx,0.00012703532509417847,0.0001351445914924711,0.011033282825511538,0.2109971827353095,0.35111532985287136,2771.966666666659,0.0006416539561683951,4.3665160339415244e-05,2.3973235263793563e-05
FAEL183,0.029016030903188997,0.00013516780373656998,0.0133609697971939,0.2109971827353095,0.5216103786222943,4438.433333333053,0.0008101127791410174,0.0008793533494627432,0.0009110268486032304
FAEL184,0.029015889329486805,0.00013516532616540986,0.013358765410317823,0.2109971827353095,0.5215368346845259,4437.433333333053,0.0008101098566536004,0.0007564740756597446,0.0007776551720309062
FAEL204,0.029016005406833283,0.00013516814166188146,0.013360969432797526,0.2109971827353095,0.5216103786222943,4438.433333333053,0.000810112690005402,0.0009380995614133249,0.0009590281423352957
FAEL205,0.029015946570993312,0.00013516926806391607,0.013360968344166389,0.2109971827353095,0.5216103786222943,4438.433333333053,0.0008101126106728729,0.0009754975681071249,0.0009939492327406753
FAH1,0.028675412828675452,0.0001351697099795863,0.013219337488027599,0.2109971827353095,0.5079299691040164,4335.933333333219,0.0008099242860887954,0.000770493695346642,0.0008144539452819277
FAH2,0.028675439197786708,0.0001351685837012604,0.013219337747136633,0.2109971827353095,0.5079299691040164,4335.933333333219,0.0008099243170646131,0.0007380796753028445,0.0007821354331765386
FAH3,0.028676966046517576,0.00013516950189642666,0.013223818766682055,0.2109971827353095,0.5083138656039576,4339.09999999988,0.0008099309391416165,0.0008208132315970899,0.0008707778128565777
FALDH,0.02458677113345139,0.00013516160849384487,0.01280797775713673,0.2109971827353095,0.48321358589157415,4108.300000000195,0.0008092653835966723,0.0014559059083915622,0.00156867939304209
FALDtly,0.00012813045825368037,0.00013514213695047956,0.011023191864635835,0.2109971827353095,0.3445577756043035,2713.583333333253,0.0005662381217975424,9.914677592660099e-06,3.569756771974393e-06
FALDtm,0.00012949452157116927,0.00013514209704562977,0.01102324223786252,0.2109971827353095,0.35185009036431086,2779.6499999999996,0.0005662753092544421,8.552634636015237e-06,1.2338670702685829e-06
FAOXC11,0.0018841954184549592,0.00013515941859648369,0.011837127293317276,0.2109971827353095,0.38151719870042805,3273.933333333745,0.000805742467866318,9.883264367235839e-05,0.00011957820220629644
FAOXC140,0.0019049589634550638,0.0001351616870629705,0.011859610656032764,0.2109971827353095,0.3824639404435713,3288.5166666670902,0.0008059297228265484,0.00011831109089160303,0.0001386695247823709
FAOXC150m,0.001905619393695493,0.0001351620878900596,0.01186183860525776,0.2109971827353095,0.3832167832167832,3294.7666666670975,0.0008059481159015818,0.00012852522212176292,0.00014456578685084434
FAOXC160,0.0019049839056981682,0.00013516520639388494,0.011862916727491745,0.2109971827353095,0.3825232678386763,3290.016666667091,0.0008059544919015859,0.00023002701177819644,0.0002564547956710346
FAOXC16080m,0.0019050938225372092,0.0001351660913777184,0.011865125475966593,0.2109971827353095,0.3825826136422403,3291.1833333337586,0.0008059722381879885,0.00023665842822352472,0.0002622410128874582
FAOXC16080x,0.00010878706653211764,0.00013516403143441134,0.011400376854954958,0.2109971827353095,0.36066692667706707,2963.7833333334775,0.0007963954041330816,0.00015345155804172828,0.00015746897563488244
FAOXC161802m,0.0019050710369299833,0.00013516250768846367,0.011861819972465966,0.2109971827353095,0.3825232678386763,3289.6833333337577,0.0008059476381979913,0.00012322289946904212,0.00014322974638614197
FAOXC16180m,0.0019050326028334918,0.00013516212151028795,0.011860715449711267,0.2109971827353095,0.38250348999534667,3289.183333333757,0.0008059386435623141,0.00011743895443205318,0.00013890574276761276
